Region,allen_name,allen_id,allen_acronym,Parent structure,Mid-level group,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,count,normalized,source_sheet
Caudoputamen,Caudoputamen,672,CP,Striatum,Dorsal striatum,Striatum dorsal region,Cerebrum,,False,True,,,1438,62.19101699114592,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Central amygdalar nucleus,Central amygdalar nucleus,536,CEA,Amygdala,Central complex,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,39,1.0083359833274,"brain1,brain2,brain3,brain4,brain6,brain7,brain9"
Central lateral nucleus of the thalamus,Central lateral nucleus of the thalamus,575,CL,Unknown,Unknown,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,19,0.8122676998546794,"brain3,brain4,brain5,brain6,brain7"
Central medial nucleus of the thalamus,Central medial nucleus of the thalamus,599,CM,Unknown,Unknown,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,53,2.299801470962126,"brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Cerebral cortex,Cerebral cortex,688,CTX,Cortex,General cortex,Cerebrum,Cerebrum,,False,False,,,32,0.9553125753102341,"brain1,brain2,brain3,brain4,brain6,brain7,brain9"
Claustrum,Claustrum,583,CLA,Cortex,Prefrontal / Insular cortex,Cortical subplate,Cerebrum,,False,False,,,73,2.0420649341537898,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Cortical amygdalar area,Cortical amygdalar area,631,COA,Amygdala,Central complex,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,22,0.8450597985323339,"brain1,brain2,brain7,brain8,brain9"
Dentate gyrus,Dentate gyrus,726,DG,Hippocampus,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,64,2.587856409925369,"brain1,brain2,brain3,brain7,brain8,brain9"
Diagonal band nucleus,Diagonal band nucleus,596,NDB,Septal area,Septal nuclei,Medial septal complex,Cerebrum,,False,True,,,46,1.2908719709393368,"brain1,brain2,brain3,brain4,brain8"
Dopaminergic A13 group,Dopaminergic A13 group,796,A13,Unknown,Unknown,Zona incerta,Brain stem,,False,True,,,2,0.0778210116731518,brain7
Dorsal auditory area,Dorsal auditory area,1011,AUDd,Cortex,Auditory cortex,Auditory areas,Cerebrum,Isocortex,True,False,,,83,5.991876407721754,"brain1,brain2,brain7,brain8,brain9"
Dorsal part of the lateral geniculate complex,Dorsal part of the lateral geniculate complex,170,LGd,Thalamus,Geniculate complex,"Geniculate group, dorsal thalamus",Brain stem,,False,True,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",9,0.346210937675337,"brain1,brain2,brain8,brain9"
Dorsal peduncular area,Dorsal peduncular area,814,DP,Unknown,Unknown,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,7,0.360263897901795,"brain2,brain4"
Dorsal premammillary nucleus,Dorsal premammillary nucleus,980,PMd,Hypothalamus,Mammillary region,Hypothalamic medial zone,Brain stem,,False,True,,,6,0.100225674119697,"brain1,brain9"
Dorsomedial nucleus of the hypothalamus,Dorsomedial nucleus of the hypothalamus,830,DMH,Hypothalamus,Tuberal region,Periventricular region,Brain stem,,False,True,,,13,0.4874427610780664,"brain1,brain4,brain7"
Ectorhinal area/Layer 1,Ectorhinal area/Layer 1,836,ECT1,Cortex,Olfactory / Piriform cortex,Ectorhinal area,Cerebrum,Isocortex,True,False,,,8,0.245266578243644,"brain1,brain8"
Ectorhinal area/Layer 2/3,Ectorhinal area/Layer 2/3,427,ECT2/3,Cortex,Olfactory / Piriform cortex,Ectorhinal area,Cerebrum,Isocortex,True,False,,,8,0.22009911635109491,"brain1,brain2,brain4,brain6,brain9"
Ectorhinal area/Layer 5,Ectorhinal area/Layer 5,988,ECT5,Cortex,Olfactory / Piriform cortex,Ectorhinal area,Cerebrum,Isocortex,True,False,,,16,0.27112323731062193,"brain1,brain6,brain9"
Ectorhinal area/Layer 6a,Ectorhinal area/Layer 6a,977,ECT6a,Cortex,Olfactory / Piriform cortex,Ectorhinal area,Cerebrum,Isocortex,True,False,,,7,0.126047766000031,"brain1,brain6,brain9"
Ectorhinal area/Layer 6b,Ectorhinal area/Layer 6b,1045,ECT6b,Cortex,Olfactory / Piriform cortex,Ectorhinal area,Cerebrum,Isocortex,True,False,,,1,0.0169548999660902,brain1
Endopiriform nucleus,Endopiriform nucleus,942,EP,Other,Other,Cortical subplate,Cerebrum,,False,False,,,54,1.6968275428924349,"brain1,brain2,brain3,brain4,brain5,brain6,brain9"
Entorhinal area,Entorhinal area,909,ENT,Cortex,Entorhinal / Parahippocampal,Retrohippocampal region,Cerebrum,Hippocampal formation,True,False,,,57,1.0240833252814006,"brain1,brain4,brain6,brain7,brain9"
Fasciola cinerea,Fasciola cinerea,982,FC,Cortex,Entorhinal / Parahippocampal,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,4,0.1608567534124433,"brain1,brain2,brain4,brain7"
Field CA1,Field CA1,382,CA1,Hippocampus,CA fields,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,127,5.251971092254485,"brain1,brain2,brain4,brain5,brain7,brain9"
Field CA2,Field CA2,423,CA2,Unknown,Unknown,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,8,0.46454914776034567,"brain2,brain4,brain5,brain7"
