Region,allen_name,allen_id,allen_acronym,Parent structure,Mid-level group,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,count,normalized,source_sheet
Medial preoptic area,Medial preoptic area,523,MPO,Hypothalamus,Preoptic region,Periventricular region,Brain stem,,False,True,,,25,0.8718199372233303,"brain1,brain2,brain3,brain4,brain5,brain8,brain9"
Medial preoptic nucleus,Medial preoptic nucleus,515,MPN,Unknown,Unknown,Hypothalamic medial zone,Brain stem,,False,True,,,5,0.2182256564212148,"brain4,brain8,brain9"
Medial septal nucleus,Medial septal nucleus,564,MS,Septal area,Septal nuclei,Medial septal complex,Cerebrum,,False,True,,,30,0.6019071630218557,"brain1,brain2,brain3"
Median preoptic nucleus,Median preoptic nucleus,452,MEPO,Hypothalamus,Preoptic region,Periventricular region,Brain stem,,False,True,,,18,0.5027784432816353,"brain1,brain2,brain3,brain5"
Mediodorsal nucleus of the thalamus,Mediodorsal nucleus of thalamus,362,MD,Thalamus,Medial thalamus,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,194,9.676417420640089,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Midbrain,Midbrain,313,MB,Midbrain,General midbrain,Brain stem,Brain stem,,False,True,,,11,0.3244662332482888,"brain1,brain4,brain8"
Midbrain reticular nucleus,Midbrain reticular nucleus,128,MRN,Midbrain,Reticular / Miscellaneous,"Midbrain, motor related",Brain stem,,False,True,,,18,0.43342797710329306,"brain1,brain2"
Nucleus accumbens,Nucleus accumbens,56,ACB,Striatum,Ventral striatum,Striatum ventral region,Cerebrum,,False,True,,,181,5.239219211636058,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Nucleus of reunions,Nucleus of reuniens,181,RE,Thalamus,Medial thalamus,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,39,1.1689374308845517,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Nucleus of the lateral olfactory tract,Nucleus of the lateral olfactory tract,619,NLOT,Unknown,Unknown,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,9,0.2625944451731689,"brain1,brain2,brain3,brain6,brain7"
Nucleus of the optic tract,Nucleus of the optic tract,628,NOT,Midbrain,Colliculi,Pretectal region,Brain stem,,False,True,,,7,0.118684299762631,brain1
Nucleus of the posterior commissure,Nucleus of the posterior commissure,634,NPC,Unknown,Unknown,Pretectal region,Brain stem,,False,True,,,4,0.1542536993203493,"brain4,brain6"
Olfactory areas,Olfactory areas,698,OLF,Unknown,Unknown,Cortical plate,Cerebrum,Olfactory areas,True,False,,,4,0.1338671291256941,"brain2,brain3"
Olfactory tubercle,Olfactory tubercle,754,OT,Striatum,Ventral striatum,Striatum ventral region,Cerebrum,,False,True,,,60,1.8132235694935015,"brain1,brain2,brain3,brain6,brain7,brain8"
Olivary pretectal nucleus,Olivary pretectal nucleus,706,OP,Unknown,Unknown,Pretectal region,Brain stem,,False,True,,,1,0.0389105058365759,brain7
Orbital area,Orbital area,714,ORB,Cortex,Prefrontal / Insular cortex,Isocortex,Cerebrum,Isocortex,True,False,,,177,6.682694776889317,"brain1,brain2,brain3,brain4,brain7,brain8,brain9"
Paracentral nucleus,Paracentral nucleus,907,PCN,Unknown,Unknown,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,54,1.4972655256468124,"brain3,brain4,brain5,brain6,brain7,brain9"
Parafascicular nucleus,Parafascicular nucleus,930,PF,Thalamus,Intralaminar thalamus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,90,2.195928733401048,"brain1,brain2,brain4,brain7,brain9"
Parasubthalamic nucleus,Parasubthalamic nucleus,364,PSTN,Unknown,Unknown,Hypothalamic lateral zone,Brain stem,,False,True,,,5,0.4847381830528152,"brain2,brain4,brain8"
Parataenial nucleus,Parataenial nucleus,15,PT,Unknown,Unknown,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,3,0.0996515351982857,"brain4,brain7,brain9"
Paraventricular hypothalamic nucleus,Paraventricular hypothalamic nucleus,38,PVH,Hypothalamus,Tuberal region,Periventricular zone,Brain stem,,False,True,,,9,0.31959637897936516,"brain1,brain4,brain9"
Paraventricular nucleus of the thalamus,Paraventricular nucleus of the thalamus,149,PVT,Thalamus,Intralaminar thalamus,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,12,0.4611029741901698,"brain1,brain2,brain7"
Periaqueductal gray,Periaqueductal gray,795,PAG,Unknown,Unknown,"Midbrain, motor related",Brain stem,,False,True,,,20,0.7074864576062767,"brain2,brain4,brain6,brain7,brain9"
Perireunensis nucleus,Perireunensis nucleus,1077,PR,Unknown,Unknown,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,3,0.116731517509728,brain7
Perirhinal area,Perirhinal area,922,PERI,Cortex,Olfactory / Piriform cortex,Isocortex,Cerebrum,Isocortex,True,False,,,32,0.5672095318454177,"brain1,brain6,brain7,brain9"
Periventricular hypothalamic nucleus,"Periventricular hypothalamic nucleus, intermediate part",118,PVi,Hypothalamus,Tuberal region,Periventricular zone,Brain stem,,False,True,,,13,0.47091711848600215,"brain1,brain4,brain9"
Piriform area,Piriform area,961,PIR,Cortex,Olfactory / Piriform cortex,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,420,10.781546259297594,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Piriform-amygdalar area,Piriform-amygdalar area,788,PAA,Amygdala,Central complex,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,10,0.166541548307214,"brain1,brain9"
Posterior amygdalar nucleus,Posterior amygdalar nucleus,780,PA,Unknown,Unknown,Cortical subplate,Cerebrum,,False,False,,,1,0.0389105058365759,brain7
Posterior complex of the thalamus,Posterior complex of the thalamus,1020,PO,Thalamus,Lateral thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,110,2.219245063472604,"brain1,brain2,brain4,brain5,brain6,brain7,brain9"
Posterior hypothalamic nucleus,Posterior hypothalamic nucleus,946,PH,Hypothalamus,Lateral hypothalamus,Hypothalamic medial zone,Brain stem,,False,True,,,37,0.716057168621947,"brain1,brain7,brain9"
Posterior limiting nucleus of the thalamus,Posterior limiting nucleus of the thalamus,1029,POL,Thalamus,Lateral thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,6,0.101729399796541,brain1
Posterior parietal association areas,Posterior parietal association areas,22,PTLp,Cortex,Visual cortex,Isocortex,Cerebrum,Isocortex,True,False,,,99,3.7627635601080467,"brain1,brain2,brain4,brain6,brain7,brain8,brain9"
Postpiriform transition area,Postpiriform transition area,566,TR,Cortex,Olfactory / Piriform cortex,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,19,0.322143099355714,brain1
Precommissural nucleus,Precommissural nucleus,50,PRC,Unknown,Unknown,Periaqueductal gray,Brain stem,,False,True,,,2,0.0607410293617098,"brain4,brain9"
Prelimbic area,Prelimbic area,972,PL,Unknown,Unknown,Isocortex,Cerebrum,Isocortex,True,False,,,239,12.370352286530984,"brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Primary auditory area,Primary auditory area,1002,AUDp,Cortex,Auditory cortex,Auditory areas,Cerebrum,Isocortex,True,False,,,51,1.9263387503308502,"brain1,brain2,brain4,brain7,brain8,brain9"
Primary motor area,Primary motor area,985,MOp,Cortex,Motor cortex,Somatomotor areas,Cerebrum,Isocortex,True,False,,,3736,127.25022515988883,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Primary somatosensory area,Primary somatosensory area,322,SSp,Cortex,Somatosensory cortex,Somatosensory areas,Cerebrum,Isocortex,True,False,,,10552,316.6041469168809,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Primary visual area,Primary visual area,385,VISp,Cortex,Visual cortex,Visual areas,Cerebrum,Isocortex,True,False,,,32,1.360263851941856,"brain1,brain2,brain8"
Reticular nucleus of the thalamus,Reticular nucleus of the thalamus,262,RT,Thalamus,Reticular thalamus,"Thalamus, polymodal association cortex related",Brain stem,,False,True,"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus,46,2.2222423558005264,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Retrochiasmatic area,Retrochiasmatic area,173,RCH,Unknown,Unknown,Hypothalamic lateral zone,Brain stem,,False,True,,,2,0.0905797101449275,brain4
Retrosplenial area,Retrosplenial area,254,RSP,Cortex,Visual cortex,Isocortex,Cerebrum,Isocortex,True,False,,,269,10.254767425120727,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Rhomboid nucleus,Rhomboid nucleus,189,RH,Thalamus,Medial thalamus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,5,0.1264878238816011,"brain1,brain4,brain6,brain9"
Secondary motor area,Secondary motor area,993,MOs,Cortex,Motor cortex,Somatomotor areas,Cerebrum,Isocortex,True,False,,,821,34.68279487822606,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Septofimbrial nucleus,Septofimbrial nucleus,310,SF,Unknown,Unknown,Lateral septal complex,Cerebrum,,False,True,,,2,0.119402985074627,brain2
Striatum-like amygdalar nuclei,Striatum-like amygdalar nuclei,278,sAMY,Amygdala,Central complex,Striatum,Cerebrum,,False,True,,,12,0.2097220528129416,"brain1,brain3,brain9"
Subfornical organ,Subfornical organ,338,SFO,Unknown,Unknown,Periventricular region,Brain stem,,False,True,,,1,0.0389105058365759,brain7
Subiculum,Subiculum,502,SUB,Cortex,Entorhinal / Parahippocampal,Retrohippocampal region,Cerebrum,Hippocampal formation,True,False,,,2,0.0766563925034036,"brain1,brain2"
Submedial nucleus of the thalamus,Submedial nucleus of the thalamus,366,SMT,Unknown,Unknown,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,18,0.5933426474560998,"brain3,brain4,brain6,brain7"
